instancia,algoritmo,tempo_execucao_segundos
num.1000.1.in,Insertion Sort,0.067305
num.1000.1.in,Selection Sort,0.029802
num.1000.2.in,Insertion Sort,0.025057
num.1000.2.in,Selection Sort,0.023796
num.1000.3.in,Insertion Sort,0.022495
num.1000.3.in,Selection Sort,0.025260
num.1000.4.in,Insertion Sort,0.022127
num.1000.4.in,Selection Sort,0.027132
num.10000.1.in,Insertion Sort,2.600868
num.10000.1.in,Selection Sort,2.692201
num.10000.2.in,Insertion Sort,2.840039
num.10000.2.in,Selection Sort,2.543072
num.10000.3.in,Insertion Sort,2.546128
num.10000.3.in,Selection Sort,2.482714
num.10000.4.in,Insertion Sort,2.894877
num.10000.4.in,Selection Sort,2.864540
num.100000.1.in,Insertion Sort,299.697776
num.100000.1.in,Selection Sort,250.065267
num.100000.2.in,Insertion Sort,753.996689
num.100000.2.in,Selection Sort,295.614630
num.100000.3.in,Insertion Sort,328.994414
num.100000.3.in,Selection Sort,258.951012
